Sample,Mem
1,170.728125
2,66.25107422
3,73.93857422
4,66.84589844
5,75.17890625
6,53.35039063
7,69.10585938
8,38.1421875
9,64.49960938
10,83.83193359
11,51.16474609
12,66.93994141
13,62.13066406
14,66.93789063
15,80.92841797
16,47.29609375
17,47.92695313
18,44.64140625
19,48.8828125
20,78.04550781
21,49.81308594
22,75.67246094
23,45.42490234
24,84.57138672
25,30.77578125
26,79.71894531
27,52.54238281
28,71.45703125
29,71.49921875
30,92.49804688
31,64.22646484
32,99.32255859
33,74.09697266
34,73.67519531
35,64.86943359
36,88.10292969
37,55.15566406
38,60.29335938
39,39.36962891
40,76.68046875
41,68.87568359
42,87.72636719
43,35.54101563
44,96.47802734
45,72.63349609
46,71.06494141
47,55.68691406
48,74.16542969
49,37.44414063
50,58.20322266
51,57.62304688
52,65.67060547
53,40.61015625
54,66.72929688
55,56.19501953
56,99.61943359
57,56.28242188
58,69.77519531
59,52.11044922
60,61.95439453
61,59.6734375
62,105.8867188
63,66.08203125
64,97.43408203
65,24.82177734
66,47.77949219
67,38.96210938
68,13.70625
69,46.21933594
70,39.15839844
71,119.680957
72,65.46806641
73,69.17294922
74,66.89599609
75,53.82050781
76,42.57167969
77,70.23994141
78,44.76279297
79,89.09003906
80,51.04755859
81,80.61611328
82,71.3078125
83,77.28271484
84,31.14960938
85,88.74199219
86,53.43916016
87,65.53662109
88,56.52285156
89,83.58642578
90,67.31123047
91,51.41318359
92,46.11542969
93,52.45185547
94,58.11767578
95,76.65253906
96,56.60849609
97,99.7328125
98,48.76513672
99,65.84658203
100,49.24414063
101,60.93544922
102,53.49003906
103,46.45048828
104,66.66640625
105,55.65908203
106,69.01777344
107,90.28691406
108,61.49589844
109,61.70595703
110,60.03720703
111,103.4136719
112,92.275
113,91.77587891
114,74.09238281
115,84.49472656
116,70.73925781
117,89.68476563
118,80.22324219
119,73.83476563
120,67.95009766
121,65.02324219
122,44.97402344
123,95.1640625
124,77.50585938
125,85.17470703
126,86.26669922
127,60.33457031
128,73.94033203
129,69.64179688
130,66.60634766
131,80.29375
132,83.64521484
133,72.703125
134,77.04375
135,67.32675781
136,73.27080078
137,76.46796875
138,83.83095703
139,93.57109375
140,80.65722656
141,84.65917969
142,57.27265625
143,88.16201172
144,81.57695313
145,81.76865234
146,87.86767578
147,68.15898438
148,86.20644531
149,74.62705078
150,93.91640625
151,87.79960938
152,65.15009766
153,92.06035156
154,75.88730469
155,85.759375
156,72.63017578
157,65.98554688
158,77.37167969
159,102.8141602
160,89.35048828
161,60.94169922
162,92.63710938
163,62.58554688
164,74.26816406
165,84.73017578
166,60.55927734
167,85.60693359
168,89.13173828
169,69.92734375
170,91.25986328
171,91.55722656
172,90.48466797
173,78.50078125
174,80.725
175,73.67998047
176,80.43525391
177,83.49511719
178,80.23935547
179,76.96513672
180,81.25322266
181,81.37578125
182,72.50302734
183,76.34296875
184,82.46357422
185,73.29990234
186,77.87988281
187,96.10097656
188,82.39746094
189,57.99589844
190,79.76455078
191,79.79990234
192,61.95273438
193,82.31484375
194,88.98701172
195,64.85429688
196,72.29101563
197,81.98056641
198,51.74931641
199,76.32871094
200,63.81748047
201,82.42304688
202,90.04628906
203,84.03701172
204,46.49853516
205,55.56230469
206,40.39697266
207,87.91845703
208,55.07597656
209,90.4453125
210,59.13955078
211,60.60556641
212,64.16552734
213,56.67177734
214,55.20722656
215,71.63681641
216,56.04013672
217,48.27177734
218,55.09238281
219,52.33232422
220,84.75429688
221,55.68994141
222,52.67753906
223,76.13808594
224,53.53847656
225,59.09208984
226,67.00966797
227,53.08994141
228,81.38164063
