Sample,Mem
1,183.8226563
2,44.64140625
3,40.59707031
4,53.46455078
5,67.19492188
6,60.81230469
7,49.26572266
8,36.57304688
9,55.08017578
10,34.88828125
11,26.14326172
12,37.74970703
13,30.06025391
14,24.59921875
15,33.72861328
16,20.1921875
17,27.75146484
18,22.41210938
19,14.29414063
20,38.49863281
21,32.96953125
22,22.78476563
23,34.57568359
24,39.90615234
25,61.27910156
26,60.00986328
27,62.44960938
28,49.19794922
29,50.24501953
30,57.67412109
31,48.88300781
32,12.29726563
33,5.94765625
34,72.27080078
35,40.70351563
36,42.07666016
37,53.87607422
38,39.40556641
39,26.44921875
40,39.08359375
41,8.900390625
42,48.06962891
43,62.48710938
44,58.07480469
45,62.58740234
46,58.22666016
47,23.71240234
48,34.77490234
49,50.59726563
50,60.9421875
51,27.36328125
52,35.48496094
53,32.55898438
54,43.15625
55,25.99169922
56,45.54716797
57,14.24101563
58,34.50126953
59,30.70703125
60,30.74306641
61,23.75859375
62,30.26201172
63,28.4109375
64,10.49804688
65,51.065625
66,34.90517578
67,29.47714844
68,22.8046875
69,30.97294922
70,28.80380859
71,26.0421875
72,47.89033203
73,13.93320313
74,122.4858398
75,75.82929688
76,49.98896484
77,42.7890625
78,48.58935547
79,58.72226563
80,35.60791016
81,56.57646484
82,40.26054688
83,46.56806641
84,41.28945313
85,32.09296875
86,33.36640625
87,54.15625
88,31.22617188
89,22.54492188
90,28.690625
91,30.56162109
92,47.50908203
93,41.33369141
94,39.19013672
95,59.57587891
96,58.84472656
97,12.64609375
98,14.59492188
99,33.46289063
100,51.25146484
101,42.98632813
102,38.55234375
103,54.62919922
104,58.00048828
105,44.52382813
106,50.89912109
107,37.43701172
108,39.52441406
109,51.87089844
110,58.28974609
111,48.92382813
112,52.22958984
113,61.07314453
114,45.37675781
115,39.27841797
116,49.95068359
117,45.76083984
118,48.61123047
119,34.85830078
120,48.53837891
121,60.09130859
122,46.41621094
123,57.06767578
124,43.32070313
125,48.12246094
126,45.54179688
127,42.47011719
128,40.07900391
129,32.84785156
130,51.89228516
131,62.95917969
132,15.559375
133,45.32851563
134,60.67646484
135,31.97910156
136,54.05703125
137,42.78710938
138,36.74189453
139,45.59746094
140,42.64697266
141,47.21689453
142,37.09628906
143,48.46337891
144,57.69345703
145,43.23173828
146,41.22177734
147,46.35449219
148,57.67363281
149,38.14550781
150,49.28447266
151,50.33798828
152,39.67216797
153,50.39414063
154,40.83085938
155,49.05
156,40.34580078
157,44.87197266
158,52.60449219
159,38.77324219
160,52.70478516
161,52.37421875
162,40.53046875
163,50.38935547
164,64.59824219
165,14.47226563
166,43.56347656
167,49.79765625
168,46.08818359
169,46.55957031
170,44.378125
171,44.04570313
172,43.85976563
173,38.70400391
174,49.05830078
175,77.84316406
176,70.03779297
177,77.21582031
178,41.18701172
179,61.284375
180,47.15820313
181,57.23408203
182,53.18818359
183,39.03505859
184,47.95703125
185,47.54716797
186,47.97216797
187,78.24267578
188,62.021875
189,56.12666016
190,60.8484375
191,41.04863281
192,41.00625
193,70.63564453
194,44.67763672
195,48.18183594
196,43.21523438
197,51.72353516
198,52.97685547
199,49.36142578
200,70.73417969
201,95.62070313
202,99.15654297
203,91.00458984
204,75.12685547
205,57.64863281
206,48.18251953
207,49.81181641
208,44.24921875
209,47.26826172
210,61.85371094
211,38.48876953
212,48.18388672
213,35.88994141
214,45.99199219
215,36.99599609
216,43.80703125
217,46.96884766
218,44.01396484
219,42.30361328
220,48.48554688
221,44.28740234
222,41.14785156
223,40.01582031
224,51.24082031
225,31.60322266
226,51.04287109
227,54.16523438
228,52.58466797
229,43.55517578
230,34.98095703
231,33.42773438
232,43.29628906
233,37.07226563
234,35.58203125
235,44.60498047
236,67.19726563
237,53.07753906
238,42.2890625
239,36.65166016
240,45.10976563
241,38.26738281
242,35.28486328
243,53.81875
244,57.32324219
245,45.73164063
246,41.27861328
247,36.58945313
248,42.37148438
249,38.46435547
250,44.84160156
251,31.77480469
252,31.69306641
253,42.70341797
254,38.13808594
255,33.96816406
256,43.96289063
257,40.53398438
258,44.39482422
259,43.72734375
260,32.34863281
261,43.79169922
262,30.52851563
263,21.80820313
264,26.64726563
265,48.51982422
266,35.70585938
267,29.24013672
268,31.7375
269,42.53564453
270,39.19082031
271,34.21640625
272,48.68300781
273,28.41757813
274,28.56289063
275,21.45
276,46.440625
277,38.51464844
278,32.31738281
279,45.05429688
280,44.30166016
281,27.09375
282,47.93847656
283,38.89765625
284,25.61894531
285,21.6015625
286,38.0046875
287,27.5578125
288,30.45
289,65.29648438
290,53.42265625
291,40.77744141
292,51.26035156
293,48.58808594
294,42.33837891
295,18.0046875
296,33.61582031
297,57.35693359
298,36.19052734
299,28.10664063
300,37.01337891
301,19.69960938
302,33.17294922
303,27.07578125
304,36.58369141
305,56.20771484
306,52.32617188
307,34.72685547
308,39.60820313
309,46.88662109
310,45.23574219
311,100.9052734
312,89.2984375
313,95.53720703
314,103.7478516
315,103.915332
316,79.87460938
317,69.7125
318,95.15234375
319,97.24013672
320,80.48798828
321,40.47246094
322,55.58085938
323,36.31542969
324,66.559375
325,47.82783203
326,32.65371094
327,51.59550781
328,62.91396484
329,61.28691406
330,66.87109375
331,58.62158203
332,46.30820313
333,54.17109375
334,45.51806641
335,68.37744141
336,39.44628906
337,62.50810547
338,44.27958984
339,44.19404297
340,49.53720703
341,29.58310547
342,24.09023438
343,28.86601563
344,52.33798828
345,43.78945313
346,44.7921875
347,39.13027344
348,53.22949219
349,40.25019531
350,24.35390625
351,51.38974609
352,34.99882813
353,40.38720703
354,40.47626953
355,60.73574219
356,37.8484375
357,38.41386719
358,32.478125
