Sample,Mem
1,159.0054688
2,58.00957031
3,46.93798828
4,30.46582031
5,50.02363281
6,42.73808594
7,80.80117188
8,111.6310547
9,50.49365234
10,67.33964844
11,52.29111328
12,100.6875977
13,53.92871094
14,98.69804688
15,73.45595703
16,90.94550781
17,50.63466797
18,104.2566406
19,106.10625
20,84.16142578
21,108.7913086
22,98.25224609
23,75.85195313
24,81.03359375
25,72.07753906
26,75.07978516
27,47.06972656
28,60.99365234
29,80.28886719
30,86.18173828
31,70.02402344
32,84.07617188
33,86.50126953
34,75.68037109
35,100.4014648
36,75.96953125
37,91.93378906
38,97.74658203
39,49.47324219
40,59.53310547
41,58.03779297
42,54.25546875
43,65.87841797
44,64.3375
45,76.28085938
46,105.9640625
47,92.78857422
48,100.1947266
49,90.77265625
50,64.08369141
51,65.01425781
52,71.93857422
53,100.4462891
54,106.2585938
55,84.64091797
56,85.10693359
57,80.30888672
58,94.34804688
59,106.1067383
60,97.37353516
61,93.71425781
62,93.41796875
63,65.90048828
64,102.2507813
65,65.02675781
66,107.440332
67,90.80410156
68,88.29208984
69,67.01220703
70,72.50986328
71,74.01611328
72,114.4079102
73,121.19375
74,115.515918
75,111.2779297
76,112.1892578
77,58.38857422
78,101.9132813
79,75.06806641
80,105.0331055
81,67.52460938
82,108.6423828
83,116.2226563
84,70.67207031
85,112.921875
86,114.6553711
87,103.1098633
88,105.959668
89,103.5727539
90,94.42822266
91,88.55888672
92,78.88642578
93,97.91123047
94,46.16044922
95,68.71474609
96,96.53193359
97,104.2836914
98,110.3786133
99,95.59619141
100,85.18544922
101,96.98994141
102,98.89130859
103,106.2490234
104,104.6064453
105,107.5462891
106,66.02724609
107,95.86416016
108,99.79306641
109,68.68583984
110,98.61923828
111,61.55683594
112,98.99902344
113,102.7342773
114,83.81357422
115,89.89648438
116,88.05703125
117,97.59355469
118,87.53984375
119,92.21699219
120,98.21552734
121,58.63808594
122,97.11474609
123,100.4427734
124,91.47744141
125,91.9265625
126,94.27724609
127,102.9023438
128,88.62451172
129,86.5578125
130,91.53046875
131,99.90136719
132,65.80400391
133,98.88984375
134,115.6099609
135,87.08359375
136,102.2324219
137,84.44277344
138,97.59326172
139,113.5417969
140,100.0066406
141,83.25351563
142,105.3457031
143,46.44677734
144,92.54775391
145,99.10566406
146,63.2703125
147,99.04814453
148,54.70117188
149,98.11269531
150,106.5360352
151,73.01806641
152,110.9885742
153,82.44599609
154,85.69003906
155,91.66494141
156,69.35732422
157,93.59042969
158,75.24550781
159,98.92529297
160,102.0547852
161,85.275
162,70.72783203
163,85.24335938
164,78.35214844
165,80.14697266
166,32.47763672
167,95.20400391
168,66.61445313
169,93.97617188
170,104.0671875
171,81.753125
172,70.84287109
173,71.76572266
174,67.98222656
175,78.92392578
176,32.49726563
177,70.93994141
178,76.86201172
179,81.39511719
180,71.66875
181,76.00634766
182,78.17861328
183,83.07626953
184,87.96582031
185,104.6831055
186,74.63818359
187,79.10683594
188,83.98261719
189,50.20117188
190,68.13251953
191,76.82509766
192,52.11005859
193,47.56826172
194,64.10615234
195,64.84912109
196,42.67421875
197,70.58720703
198,77.81484375
199,55.11220703
200,74.68515625
201,78.96142578
202,58.27275391
203,77.6078125
204,80.14589844
205,74.46074219
206,74.31865234
207,67.01132813
208,62.25234375
209,82.50546875
210,57.01503906
211,85.90683594
