Sample,Mem
1,94.55761719
2,100.7978516
3,89.71972656
4,79.95214844
5,83.59277344
6,82.375
7,85.29296875
8,82.9375
9,82.13085938
10,80.73632813
11,84.65625
12,78.60839844
13,83.82617188
14,80.62988281
15,90.703125
16,82.53125
17,84.17773438
18,81.85839844
19,88.24609375
20,83.6640625
21,83.50097656
22,85.1484375
23,80.27441406
24,86.79980469
25,88.31152344
26,83.97949219
27,82.79492188
28,84.37890625
29,83.69335938
30,87.26171875
31,86.99511719
32,84.61425781
33,86.3984375
34,88.86425781
35,86.76953125
36,89.29980469
37,85.46875
38,86.5859375
39,88.01367188
40,88.04492188
41,86.22265625
42,92.24707031
43,88.83007813
44,93.44824219
45,86.64355469
46,89.28808594
47,87.34277344
48,89.44335938
49,87.36914063
50,90.94824219
51,90.67382813
52,86.56445313
53,87.890625
54,85.42578125
55,89.85351563
56,87.70996094
57,88.84277344
58,87.80078125
59,89.12011719
60,89.12109375
61,93.18945313
62,89.36621094
63,89.43652344
64,89.60253906
65,90.24609375
66,90.3828125
67,93.20019531
68,90.42871094
69,91.85839844
70,94.77050781
71,96.00585938
72,91.70214844
73,92.08789063
74,93.17285156
75,93.16699219
76,93.94140625
77,91.88671875
78,92.875
79,87.98730469
80,94.18945313
81,104.171875
82,104.4589844
83,99.06445313
84,105.8828125
85,100.7021484
86,100.8535156
87,98.50097656
88,102.3242188
89,103.6787109
90,100.2734375
91,100.0214844
92,100.8310547
93,100.7460938
94,101.6289063
95,105.2382813
96,100.5351563
97,104.3232422
98,102.7148438
99,100.6982422
100,102.8505859
101,106.3876953
102,101.234375
103,104.8701172
104,104.0947266
105,102.0234375
106,103.2714844
107,101.90625
108,102.3916016
109,105.6357422
110,105.6650391
111,102.6992188
112,103.9287109
113,101.4345703
114,102.9599609
115,103.4052734
116,103.8066406
117,109.0078125
118,104.0361328
119,106.5371094
120,109.1298828
121,105.5429688
122,106.8574219
123,107.8876953
124,102.7294922
125,106.0654297
126,107.9599609
127,109.0429688
128,105.1328125
129,104.9873047
130,108.1083984
131,104.8339844
132,106.7539063
133,107.1347656
134,104.7041016
135,105.5996094
136,105.9960938
137,107.5595703
138,108.2900391
139,106.1689453
140,108.8339844
141,110.8173828
142,107.8828125
143,109.0742188
144,107.7939453
145,106.2568359
146,91.99316406
147,105.6425781
148,107.2275391
149,107.2617188
150,105.7275391
151,103.6308594
152,108.2470703
153,107.9199219
154,105.8652344
155,108.0039063
156,108.9882813
157,106.7558594
158,108.3486328
159,107.1689453
160,105.1660156
161,107.9697266
162,107.7402344
163,110.0234375
164,109.0371094
165,103.7177734
166,108.1132813
167,109.9345703
168,107.0361328
169,109.7207031
170,109.1503906
171,108.7265625
172,108.6044922
173,108.3603516
174,96.06640625
175,110.5332031
176,110.0673828
177,114.0136719
178,114.5742188
179,112.9335938
180,115.4736328
181,110.8867188
182,113.0761719
183,113.2480469
184,111.9267578
185,113.1425781
186,112.9003906
187,114.3730469
188,115.0126953
189,114.7822266
190,115.6513672
191,117.3193359
192,112.0839844
193,119.9707031
194,115.296875
195,112.3144531
196,121.2871094
197,114.1220703
198,115.9130859
199,121.4765625
200,115.4912109
201,117.703125
202,116.7539063
203,117.6464844
204,122.1152344
205,117.8818359
206,117.9521484
207,121.2080078
208,118.0273438
209,117.3154297
210,114.4453125
211,117.7177734
212,117.4082031
213,114.1650391
214,112.8466797
215,117.3945313
216,113.5410156
217,116.3798828
218,117.8173828
219,114.0693359
220,117.1660156
221,114.609375
222,115.859375
223,117.6757813
224,117.7304688
225,116.9462891
226,117.7900391
227,118.3300781
228,115.6005859
229,115.7060547
230,117.2021484
231,114.9619141
232,116.6347656
233,115.1992188
234,115.078125
235,118.4570313
236,116.2900391
237,116.2910156
238,115.8984375
239,118.1279297
240,119.3701172
241,115.2734375
242,115.7539063
243,116.4169922
244,114.3818359
245,118.265625
246,117.2539063
247,116.1357422
248,119.2841797
249,116.2226563
250,118.8779297
251,121.1923828
252,116.5859375
253,116.3095703
254,117.2382813
255,114.6152344
256,116.2148438
257,116.5273438
258,116.3613281
259,116.3759766
260,116.0126953
261,114.7734375
262,115.7011719
263,116.140625
264,115.4804688
265,115.6289063
266,118.9384766
